axis_from,axis_to,sign,magnitude_tier,confidence_grade,J_value_age30,J_value_age80,primary_evidence_PMID,evidence_type,brief_rationale
I,M,+,S,A,0.015,0.080,16651290,MR+RCT,"TNF-α/JNK→IRS-1 serine phosphorylation→insulin resistance (Shoelson 2006); canakinumab CANTOS trial metabolic effects"
I,E,+,M,B,0.005,0.025,27304977,"observational+mechanistic","NF-κB drives DNMT expression changes; chronic inflammation accelerates epigenetic age (Pal 2016)"
I,mito,+,S,A,0.010,0.050,23706778,"RCT+mechanistic","NLRP3 inflammasome activation by mitochondrial DAMPs; NF-κB suppresses PGC-1α (Youm 2013)"
I,P,+,M,B,0.005,0.025,26122616,"mechanistic","TNF-α impairs proteasome function; NF-κB→HSP70 demand (Labbadia 2015)"
I,C,+,M,B,0.005,0.025,17646381,"RCT+mechanistic","TNF-α suppresses clock gene expression via E-box interference (Cavadini 2007)"
I,N,+,S,A,0.010,0.050,12490681,"RCT+mechanistic","Inflammatory cytokines reduce vagal tone via cholinergic anti-inflammatory pathway (Tracey 2002)"
I,F,+,S,A,0.010,0.060,29605718,"prospective+MR","CRP/IL-6 predict sarcopenia onset; TNF-α drives muscle protein degradation (Franceschi 2018)"
M,I,+,S,A,0.020,0.100,11742414,"RCT+mechanistic","Hyperglycemia→AGE-RAGE→NF-κB; PKC/polyol/hexosamine→ROS→NF-κB (Brownlee 2001)"
M,E,+,M,B,0.005,0.025,18835805,"RCT","Transient hyperglycemia→persistent H3K4me1 at NF-κB p65 promoter (El-Osta 2008)"
M,mito,+,S,A,0.010,0.060,34552265,"review+mechanistic","Insulin resistance→reduced PGC-1α→impaired mitochondrial biogenesis (Amorim 2022)"
M,P,+,M,B,0.005,0.025,21461003,"mechanistic","Hyperglycemia→ER stress→impaired autophagy; AGE-modified proteins resist degradation (Rubinsztein 2011)"
M,C,+,M,B,0.005,0.025,24360275,"RCT","High-fat diet reprograms circadian clock via SIRT1/AMPK/NAD+ pathway (Eckel-Mahan 2013)"
M,N,+,M,B,0.005,0.025,12766768,"prospective","Diabetic autonomic neuropathy; insulin resistance→reduced HRV (Vinik 2003)"
M,F,+,S,A,0.015,0.070,19407167,"prospective+RCT","Insulin resistance→impaired muscle glucose uptake→sarcopenia; skeletal muscle is primary glucose disposal site (DeFronzo 2009)"
E,I,+,M,B,0.005,0.025,27304977,"mechanistic","Epigenetic deregulation of inflammatory gene loci; age-related hypomethylation of IL-6/TNF-α promoters (Pal 2016)"
E,M,+,M,B,0.005,0.025,27304977,"mechanistic+observational","Epigenetic regulation of insulin signaling genes; methylation changes predict metabolic syndrome"
E,mito,+,M,B,0.005,0.025,22911679,"observational","NAD+ decline with age correlates with methylation changes; SIRT1 activity links epigenome to mitochondria (Massudi 2012)"
E,P,+,W,C,0.002,0.015,26122616,"inferred","Epigenetic regulation of autophagy/proteasome gene expression; evidence sparse"
