axis_from,axis_to,sign,magnitude_tier,confidence_grade,J_healthy,J_pre_disease,J_disease,age_trajectory,pmid_primary,pmid_secondary,evidence_type,mechanism_brief,biomarker_role_note
M,I,+,S,A,0.25,0.35,0.5,increasing,hotamisligil2006inflammation,timpson2011crp,MR+cohort,AGE-RAGE-NF-kB; adipose M1 macrophages; FFA-NLRP3 inflammasomes,CRP=observationProxy; IL-6=regulatorySignal
E,I,+,W,C,qual_only,qual_only,qual_only,increasing,saul2019chip,,cohort,CHIP-associated clonal haematopoiesis drives IL-6/TNF-a; epigenetic drift in macrophage polarisation,
mito,I,+,S,A,0.2,0.28,0.4,increasing,zheng2024mtdna,west2015mito,meta-analysis+MR,mtDNA/cardiolipin DAMP release activates NLRP3/cGAS-STING; ROS amplifies NF-kB,
P,I,+,S,A,0.15,0.22,0.35,increasing,heneka2013nlrp3,,meta-analysis+cell,Misfolded protein DAMP activation of NLRP3; amyloid/tau trigger microglial inflammation,
C,I,+,M,A,0.1,0.15,0.22,increasing,wright2015circadian,,intervention+cohort,Sleep deprivation increases IL-6/CRP; circadian misalignment activates NF-kB; melatonin anti-inflammatory loss,
N,I,+,M,B,0.12,0.18,0.25,increasing,revesz2014stress,,cohort+review,Cortisol excess suppresses Treg/IL-10; chronic HPA activation promotes NF-kB escape; vagal anti-inflammatory reflex loss,
F,I,-,S,A,-0.35,-0.3,-0.25,stable,petersen2005exercise,gleeson2011exercise,meta-analysis+RCT,Exercise induces IL-6 myokine anti-inflammatory cascade; macrophage M2 polarisation; Treg expansion,
B,I,-,W,C,qual_only,qual_only,qual_only,unknown,komori2020osteocalcin,,cell+review,Osteocalcin anti-inflammatory: suppresses NF-kB in macrophages; promotes IL-10; inverse CRP-BMD association,
I,M,+,S,A,0.18,0.28,0.42,increasing,ridker2017cantos,interleukin6MR2012,MR+RCT+cohort,TNF-a IRS-1 phosphorylation; NF-kB hepatic gluconeogenesis; adipose macrophage infiltration,CRP=observationProxy; IL-6=regulatorySignal
E,M,+,W,C,qual_only,qual_only,qual_only,unknown,dayeh2015betacell,,theoretical,Epigenetic drift in beta-cell identity; DNMT-mediated silencing of insulin signalling genes,
mito,M,+,M,A,0.12,0.18,0.28,increasing,patti2003mito,petersen2004impaired,cohort+cell,ETC dysfunction impairs GSIS; NAD+ depletion disables sirtuin metabolic sensing; lipid oxidation failure,NAD+/NADH=regulatorySignal
P,M,+,W,B,qual_only,qual_only,0.15,increasing,montane2012iappstress,,cohort,IAPP amyloid in beta-cells impairs insulin secretion; proteasome dysfunction affects insulin receptor turnover,
C,M,+,M,A,0.08,0.12,0.18,increasing,stenvers2019circadian,,meta-analysis+intervention,Circadian misalignment causes acute insulin resistance; shift work MetSyn risk OR~1.5; BMAL1 KO diabetic,
N,M,+,M,A,0.15,0.22,0.3,increasing,sharma2020stressdiabetes,,meta-analysis+cohort,Cortisol-driven hepatic gluconeogenesis; visceral adipogenesis; insulin counter-regulation,
F,M,-,S,A,-0.3,-0.25,-0.2,stable,colberg2016exercise,,meta-analysis+RCT,GLUT4 translocation; AMPK activation; insulin sensitisation; exercise reduces HOMA-IR 0.3-0.5 SD,HOMA-IR=regulatorySignal
B,M,-,M,B,-0.1,-0.08,-0.05,increasing,lee2007osteocalcin,ferron2010osteocalcin,intervention+cell,Osteocalcin stimulates beta-cell proliferation and insulin secretion; GPRC6A-mediated adiponectin release,
I,E,+,M,B,0.11,0.16,0.22,increasing,lu2019grimage,belsky2022dunedinpace,cohort+epigenetic,NF-kB-mediated DNMT changes; oxidative 5-mC damage; cytokine histone modification,GrimAge=observationProxy; DunedinPACE=regulatorySignal
M,E,+,M,B,0.1,0.15,0.22,increasing,horvath2014obesity,elosta2008transient,cohort+epigenetic,Hyperglycaemic oxidative 5-mC damage; altered acetyl-CoA/a-KG; AGE-modified histones,Horvath age=observationProxy
mito,E,+,M,B,0.1,0.14,0.2,increasing,shaughnessy2014role,,cell+review,ROS-mediated oxidative damage to 5-mC; TET enzyme iron-centre oxidation; altered a-KG/succinate ratio,
