axis_from,axis_to,sign,magnitude_tier,confidence_grade,J_healthy,J_pre_disease,J_disease,age_trajectory,primary_evidence_PMID,evidence_type,brief_rationale,evidence_PMIDs,study_design_tags,n_sources,convergence_note,quantitative_prior
I,M,+,S,A,0.200,0.350,0.500,increasing,28845751,MR+RCT,HbA1c -0.23% with anti-IL-1b (CANTOS); IL-6R MR protective for T2DM; TNF-a/JNK->IRS-1 serine phosphorylation (Ridker 2017; Cupido 2021),28845751;22362918;16651290;28155527;16959573,RCT;MR;mechanistic,5,CANTOS RCT + IL-6R MR (Swerdlow/Cupido) + Shoelson TNF-JNK-IRS1 mechanism,HbA1c -0.23% with anti-IL-1b (CANTOS); OR 0.93 T2D per 1-SD lower CRP (MR)
I,E,+,M,B,0.080,0.150,0.250,increasing,NA,observational+mechanistic,IL-6 doubling -> +0.77 yr GrimAge acceleration (HRS n=3346); CRP/IL-6 associated with Hannum clock acceleration (Higgins-Tejera 2025),27304977;30569466;29605718,observational;mechanistic;review,3,IL-6 doubling -> +0.77 yr GrimAge acceleration (HRS); CRP/IL-6 Hannum clock (Higgins-Tejera 2025),~0.5-1.0 yr epigenetic age acceleration per SD CRP
I,mito,+,M,B,0.100,0.200,0.350,increasing,23746838,mechanistic,TNF-a/IL-1b suppress complex I activity; TNFR1->ceramide->complex III inhibition; inflammatory activation shifts OXPHOS to glycolysis (Lopez-Otin 2013),23746838;23706778;34552265,mechanistic;review,3,TNF-a/IL-1b suppress complex I; TNFR1->ceramide->complex III; inflammatory OXPHOS-glycolysis shift (Lopez-Otin 2013),
I,P,+,M,B,0.100,0.180,0.300,increasing,26646499,mechanistic,NF-kB->iNOS->protein S-nitrosylation; IL-6 acute phase increases protein synthesis load; TNF-a inhibits autophagy via mTORC1 (Kaushik 2015),26646499;26122616,mechanistic,2,NF-kB->iNOS->S-nitrosylation; IL-6 acute phase increases protein load; TNF-a inhibits autophagy via mTORC1 (Kaushik 2015),
I,C,+,W,C,,,, unknown,30116148,in vitro,TNF-a alters clock gene expression in vitro; IL-6 circadian secretion dysregulated with inflammaging; sparse human evidence (Franceschi 2018),30116148;17646381,in_vitro;mechanistic,2,TNF-a alters clock gene expression in vitro; IL-6 circadian secretion dysregulated (Franceschi 2018),
I,N,+,M,B,0.100,0.180,0.300,increasing,12886823,observational,IL-6 stimulates CRH/ACTH; basal IL-6 2-4x higher in elderly correlates with flattened cortisol slope r=0.45-0.62 (Kiecolt-Glaser 2003),12886823;12490681;22854555,observational;RCT;mechanistic,3,IL-6 stimulates CRH/ACTH; basal IL-6 2-4x higher in elderly correlates r=0.45-0.62 with flattened cortisol (Kiecolt-Glaser 2003),CRP >3 mg/L: ~15% lower RMSSD
I,F,+,S,A,0.150,0.300,0.500,increasing,16765440,prospective+mechanistic,IL-6 >2.5 pg/mL -> -0.45 kg/yr grip loss (InCHIANTI); NF-kB/MuRF1 ubiquitin-proteasome activation (Schaap 2006; Ferrucci 2002),16765440;12023167;29605718,prospective;mechanistic,3,IL-6 >2.5 pg/mL -> -0.45 kg/yr grip loss (InCHIANTI); NF-kB/MuRF1 activation (Schaap 2006; Ferrucci 2002),IL-6 >2.5 pg/mL: OR 1.5 for sarcopenia onset
M,I,+,M,A,0.100,0.200,0.350,increasing,33270995,observational+RCT,HbA1c variability <-> hsCRP (P=0.038); hyperglycaemia->AGE-RAGE->NLRP3; weight loss reduces CRP/IL-6 (Yoo 2020; Hotamisligil 2006),33270995;16959573;11742414,observational;RCT;mechanistic,3,HbA1c variability <-> hsCRP (P=0.038); AGE-RAGE->NLRP3; weight loss reduces CRP/IL-6 (Yoo 2020; Hotamisligil 2006),Each 1% HbA1c increase: ~0.5 mg/L higher CRP
M,E,+,W,C,,,,unknown,NA,mechanistic,Mechanisms only (AMPK/mTOR/sirtuin dysregulation); no direct HOMA-IR->epigenetic clock acceleration data in human cohorts (Krishnan 2025),18835805;27304977,mechanistic,2,AMPK/mTOR/sirtuin dysregulation; no direct HOMA-IR->epigenetic clock acceleration data (Krishnan 2025),
M,mito,+,S,A,0.200,0.350,0.500,increasing,12702871,RCT+mechanistic,30-40% mito density reduction in T2DM; insulin resistance impairs PGC-1a-mediated biogenesis (Petersen 2004; Kelley 2002),12702871;19407167;34552265,RCT;mechanistic;review,3,30-40% mito density reduction in T2DM; IR impairs PGC-1a biogenesis (Petersen 2004; Kelley 2002),~30% lower muscle mito ATP synthesis in IR subjects
